Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,tenure_band
0,128,True,True,2.700000047683716,1,265.1000061035156,110,89.0,9.869999885559082,10.0,52+
0,107,True,True,3.700000047683716,1,161.60000610351562,123,82.0,9.779999732971191,13.699999809265137,52+
0,137,True,False,0.0,0,243.39999389648438,114,52.0,6.059999942779541,12.199999809265137,52+
0,84,False,False,0.0,2,299.3999938964844,71,57.0,3.0999999046325684,6.599999904632568,52+
0,75,False,False,0.0,3,166.6999969482422,113,41.0,7.420000076293945,10.100000381469727,52+
0,118,False,False,0.0,0,223.39999389648438,98,57.0,11.029999732971191,6.300000190734863,52+
0,121,True,True,2.0299999713897705,3,218.1999969482422,88,87.30000305175781,17.43000030517578,7.5,52+
0,147,False,False,0.0,0,157.0,79,36.0,5.159999847412109,7.099999904632568,52+
0,117,True,False,0.1899999976158142,1,184.5,97,63.900001525878906,17.579999923706055,8.699999809265137,52+
0,141,False,True,3.0199999809265137,0,258.6000061035156,84,93.19999694824219,11.100000381469727,11.199999809265137,52+
1,65,True,False,0.28999999165534973,4,129.10000610351562,137,44.900001525878906,11.430000305175781,12.699999809265137,52+
0,74,True,False,0.3400000035762787,0,187.6999969482422,127,49.400001525878906,8.170000076293945,9.100000381469727,52+
0,168,True,False,0.0,1,128.8000030517578,96,31.0,5.25,11.199999809265137,52+
0,95,True,False,0.4399999976158142,3,156.60000610351562,88,52.400001525878906,12.380000114440918,12.300000190734863,52+
0,62,True,False,0.0,4,120.69999694824219,70,47.0,15.359999656677246,13.100000381469727,52+
1,161,True,False,0.0,4,332.8999938964844,67,84.0,15.890000343322754,5.400000095367432,52+
0,85,True,True,3.7300000190734863,1,196.39999389648438,139,95.30000305175781,14.050000190734863,13.800000190734863,52+
0,93,True,False,0.0,3,190.6999969482422,114,51.0,10.90999984741211,8.100000381469727,52+
0,76,True,True,2.700000047683716,1,189.6999969482422,66,78.0,10.640000343322754,10.0,52+
0,73,True,False,0.0,1,224.39999389648438,90,52.0,7.980000019073486,13.0,52+
0,147,True,False,0.3100000023841858,0,155.10000610351562,117,50.099998474121094,11.989999771118164,10.600000381469727,52+
1,77,True,False,0.0,5,62.400001525878906,89,26.0,8.5,5.699999809265137,52+
0,130,True,False,0.0,0,183.0,112,38.0,3.6500000953674316,9.5,52+
0,111,True,False,0.38999998569488525,2,110.4000015258789,103,34.900001525878906,6.869999885559082,7.699999809265137,52+
0,132,True,False,0.0,0,81.0999984741211,86,35.0,12.260000228881836,10.300000190734863,52+
0,174,True,False,0.0,3,124.30000305175781,76,45.0,13.859999656677246,15.5,52+
0,57,True,True,2.569999933242798,0,213.0,115,78.69999694824219,9.5600004196167,9.5,52+
0,54,True,False,0.0,3,134.3000030517578,73,37.0,7.78000020980835,14.699999809265137,52+
0,20,True,False,0.3199999928474426,0,190.0,109,58.20000076293945,12.90999984741211,6.300000190734863,13-25
0,49,True,False,0.20999999344348907,1,119.30000305175781,117,41.099998474121094,10.760000228881836,11.100000381469727,26-51
0,142,True,False,0.0,2,84.80000305175781,95,27.0,6.840000152587891,14.199999809265137,52+
0,75,True,False,0.0,1,226.10000610351562,105,56.0,10.079999923706055,10.300000190734863,52+
0,172,True,False,0.0,3,212.0,121,39.0,1.559999942779541,12.600000381469727,52+
1,12,True,False,0.0,1,249.60000610351562,118,64.0,12.619999885559082,11.800000190734863,0-12
0,57,True,True,2.240000009536743,0,176.8000030517578,94,69.4000015258789,9.75,8.300000190734863,52+
0,72,True,True,3.9700000286102295,3,220.0,80,95.69999694824219,10.869999885559082,14.699999809265137,52+
0,36,True,True,3.9200000762939453,0,146.3000030517578,128,78.19999694824219,8.130000114440918,14.5,26-51
0,78,True,False,0.0,1,130.8000030517578,64,42.0,11.1899995803833,10.0,52+
0,136,False,True,2.8399999141693115,3,203.89999389648438,106,79.4000015258789,9.380000114440918,10.5,52+
0,149,True,False,0.0,1,140.39999389648438,94,47.0,13.59000015258789,11.100000381469727,52+
0,98,True,False,0.30000001192092896,3,126.30000305175781,102,39.0,8.34000015258789,9.399999618530273,52+
1,135,False,True,3.940000057220459,0,173.10000610351562,85,86.4000015258789,10.199999809265137,14.600000381469727,52+
0,34,True,False,0.0,2,124.80000305175781,82,46.0,14.109999656677246,10.0,26-51
0,160,True,False,0.3799999952316284,3,85.80000305175781,77,32.79999923706055,8.270000457763672,9.199999809265137,52+
0,64,True,False,0.23999999463558197,1,154.0,67,48.400001525878906,11.289999961853027,3.5,52+
0,59,True,True,2.299999952316284,2,120.9000015258789,97,62.0,10.649999618530273,8.5,52+
0,65,True,False,0.0,3,211.3000030517578,120,50.0,8.130000114440918,13.199999809265137,52+
